edad,tieneHijos,cantidadHijos,genero,nivelEducativo,religiosidad,conservadorProgresista,userId,1_correct,2_correct,3_correct,4_correct,5_correct,6_correct,7_correct,8_correct,9_correct,10_correct,11_correct,12_correct
20,0,-999,2,5,50,72,315,1,0,1,1,1,1,0,0,0,0,0,1
18,0,-999,1,4,0,100,316,0,1,1,0,0,1,1,1,0,0,0,1
23,0,-999,1,5,57,53,317,1,0,1,1,1,0,1,1,1,0,1,1
40,1,1,1,6,33,74,318,1,0,1,1,1,1,1,1,1,0,1,0
31,0,-999,2,6,0,100,319,0,1,1,0,1,1,1,1,1,0,0,1
30,1,1,1,6,68,60,320,1,0,0,0,1,1,1,1,0,1,1,1
33,0,-999,2,4,0,56,321,0,1,1,0,0,0,1,1,1,0,1,0
26,0,-999,1,5,0,100,322,0,0,1,0,1,0,1,1,1,1,1,1
28,1,1,1,3,51,50,323,1,1,0,0,1,0,1,1,0,1,1,1
26,0,-999,1,5,22,100,324,1,1,0,1,1,1,0,1,0,1,0,1
